Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2012-01-31T00:00:00,2.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-03-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-04-30T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-05-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-06-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-07-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-08-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-09-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-10-31T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-11-30T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-12-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-02-28T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-03-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-04-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-05-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-06-30T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-07-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-08-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-09-30T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-10-31T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-11-30T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-12-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-02-28T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-03-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-04-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-05-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-06-30T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-07-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-08-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-09-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-10-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-11-30T00:00:00,1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-12-31T00:00:00,0.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-01-31T00:00:00,-0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-02-28T00:00:00,0,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-03-31T00:00:00,-0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-04-30T00:00:00,-0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-05-31T00:00:00,0,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-06-30T00:00:00,0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-07-31T00:00:00,0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-08-31T00:00:00,0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-09-30T00:00:00,0,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-10-31T00:00:00,0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-11-30T00:00:00,0.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-12-31T00:00:00,0.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-01-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-02-29T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-03-31T00:00:00,0.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-04-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-05-31T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-06-30T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-07-31T00:00:00,0.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-08-31T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-09-30T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-10-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-11-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2016-12-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-01-31T00:00:00,2.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-02-28T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-03-31T00:00:00,2.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-04-30T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-05-31T00:00:00,1.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-06-30T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-07-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-08-31T00:00:00,1.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-09-30T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-10-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-11-30T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2017-12-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-01-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-02-28T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-03-31T00:00:00,2.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-04-30T00:00:00,2.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-05-31T00:00:00,2.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-06-30T00:00:00,2.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-07-31T00:00:00,2.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-08-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-09-30T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-10-31T00:00:00,2.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-11-30T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2018-12-31T00:00:00,1.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-02-28T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-03-31T00:00:00,1.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-04-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-05-31T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-06-30T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-07-31T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-08-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-09-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-10-31T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-11-30T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2019-12-31T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-01-31T00:00:00,2.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-02-29T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-03-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-04-30T00:00:00,0.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-05-31T00:00:00,0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-06-30T00:00:00,0.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-07-31T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-08-31T00:00:00,1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-09-30T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-10-31T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-11-30T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2020-12-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-01-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-02-28T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-03-31T00:00:00,2.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-04-30T00:00:00,4.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-05-31T00:00:00,5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2021-06-30T00:00:00,5.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,,,Monthly,CPI YOY,2015-02-26T15:56:00
